name,artifact_dir,nrows,ncols,matrix_nrows,nnz_max_capacity,mapping
mawi_201512020030.073026.512x512.blocked,/home/maytayl/matrices/mawi_201512020030.npz,512,512,512,142902,blocked
atmosmodl.073026.512x512.blocked,/home/maytayl/matrices/atmosmodl.npz,512,512,512,14124,blocked
dielFilterV2real.073026.512x512.blocked,/home/maytayl/matrices/dielFilterV2real.npz,512,512,512,55902,blocked
radiation.073026.512x512.blocked,/home/maytayl/matrices/radiation.npz,512,512,512,2830,blocked
com-Youtube.073026.512x512.blocked,/home/maytayl/matrices/com-Youtube.npz,512,512,512,37714,blocked
indochina-2004.073026.512x512.blocked,/home/maytayl/matrices/indochina-2004.npz,512,512,512,48278113,blocked
stokes.073026.512x512.blocked,/home/maytayl/matrices/stokes.npz,512,512,512,572544,blocked
crankseg_1.073026.512x512.blocked,/home/maytayl/matrices/crankseg_1.npz,512,512,512,6205,blocked
kron_g500-logn17.073026.512x512.blocked,/home/maytayl/matrices/kron_g500-logn17.npz,512,512,512,207,blocked
twitter7.073026.512x512.blocked,/home/maytayl/matrices/twitter7.npz,512,512,512,1653636,blocked
Chebyshev4.073026.512x512.random,/home/maytayl/matrices/Chebyshev4.npz,512,512,512,286,random
mawi_201512020030.073026.512x512.random,/home/maytayl/matrices/mawi_201512020030.npz,512,512,512,246240,random
atmosmodl.073026.512x512.random,/home/maytayl/matrices/atmosmodl.npz,512,512,512,2972,random
dielFilterV2real.073026.512x512.random,/home/maytayl/matrices/dielFilterV2real.npz,512,512,512,2501,random
com-Youtube.073026.512x512.random,/home/maytayl/matrices/com-Youtube.npz,512,512,512,134,random
indochina-2004.073026.512x512.random,/home/maytayl/matrices/indochina-2004.npz,512,512,512,6229,random
stokes.073026.512x512.random,/home/maytayl/matrices/stokes.npz,512,512,512,23807,random
crankseg_1.073026.512x512.random,/home/maytayl/matrices/crankseg_1.npz,512,512,512,179,random
kron_g500-logn17.073026.512x512.random,/home/maytayl/matrices/kron_g500-logn17.npz,512,512,512,174,random
twitter7.073026.512x512.random,/home/maytayl/matrices/twitter7.npz,512,512,512,15383,random
delaunay_n23.073026.512x512.cyclic,/home/maytayl/matrices/delaunay_n23.npz,512,512,512,16553,cyclic
mawi_201512020030.073026.512x512.cyclic,/home/maytayl/matrices/mawi_201512020030.npz,512,512,512,246406,cyclic
stokes.073026.512x512.cyclic,/home/maytayl/matrices/stokes.npz,512,512,512,33535,cyclic
twitter7.073026.512x512.cyclic,/home/maytayl/matrices/twitter7.npz,512,512,512,13437,cyclic
