name,matrix_file,artifact_dir,NROWS,NCOLS,mapping,enabled,XPERCOL,ROWSPERPE,MAX_NNZ,MIN_NNZ,matrix_nrows,matrix_ncols,nnz,category,valid
Chebyshev4.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/Chebyshev4.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.256x256.cyclic,256,255,cyclic,1,268,267,343,61,68121,68121,5377761,Structural Problem,1
Chebyshev4.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/Chebyshev4.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.256x256.random,256,256,random,0,267,267,612,17,68121,68121,5377761,Structural Problem,1
Chebyshev4.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/Chebyshev4.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.384x384.blocked,384,384,blocked,0,178,178,1576,0,68121,68121,5377761,Structural Problem,1
Chebyshev4.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/Chebyshev4.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.384x384.cyclic,384,383,cyclic,1,178,178,216,16,68121,68121,5377761,Structural Problem,1
Chebyshev4.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/Chebyshev4.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.384x384.random,384,384,random,0,178,178,399,2,68121,68121,5377761,Structural Problem,1
Chebyshev4.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/Chebyshev4.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.512x512.blocked,512,512,blocked,0,134,134,1176,0,68121,68121,5377761,Structural Problem,1
Chebyshev4.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/Chebyshev4.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.512x512.cyclic,512,511,cyclic,1,134,134,180,2,68121,68121,5377761,Structural Problem,1
Chebyshev4.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/Chebyshev4.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.512x512.random,512,512,random,0,134,134,286,0,68121,68121,5377761,Structural Problem,1
com-Youtube.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/com-Youtube.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.256x256.blocked,256,256,blocked,0,4434,4434,77336,0,1134890,1134890,5975248,Undirected Graph With Communities,0
com-Youtube.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/com-Youtube.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.256x256.cyclic,256,255,cyclic,1,4451,4434,306,37,1134890,1134890,5975248,Undirected Graph With Communities,1
com-Youtube.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/com-Youtube.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.256x256.random,256,256,random,0,4434,4434,320,37,1134890,1134890,5975248,Undirected Graph With Communities,1
com-Youtube.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/com-Youtube.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.384x384.blocked,384,384,blocked,0,2956,2956,55116,0,1134890,1134890,5975248,Undirected Graph With Communities,0
com-Youtube.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/com-Youtube.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.384x384.cyclic,384,383,cyclic,0,2964,2956,187,12,1134890,1134890,5975248,Undirected Graph With Communities,1
com-Youtube.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/com-Youtube.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.384x384.random,384,384,random,1,2956,2956,174,9,1134890,1134890,5975248,Undirected Graph With Communities,1
com-Youtube.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/com-Youtube.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.512x512.blocked,512,512,blocked,0,2217,2217,37714,0,1134890,1134890,5975248,Undirected Graph With Communities,0
com-Youtube.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/com-Youtube.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.512x512.cyclic,512,511,cyclic,0,2221,2217,145,2,1134890,1134890,5975248,Undirected Graph With Communities,1
com-Youtube.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/com-Youtube.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.512x512.random,512,512,random,1,2217,2217,134,1,1134890,1134890,5975248,Undirected Graph With Communities,1
crankseg_1.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/crankseg_1.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.256x256.blocked,256,256,blocked,0,207,207,16630,0,52804,52804,10614210,Structural Problem,0
crankseg_1.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/crankseg_1.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.256x256.cyclic,256,255,cyclic,1,208,207,220,114,52804,52804,10614210,Structural Problem,1
crankseg_1.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/crankseg_1.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.256x256.random,256,256,random,0,207,207,436,107,52804,52804,10614210,Structural Problem,1
crankseg_1.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/crankseg_1.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.384x384.blocked,384,384,blocked,0,138,138,9157,0,52804,52804,10614210,Structural Problem,1
crankseg_1.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/crankseg_1.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.384x384.cyclic,384,383,cyclic,1,138,138,119,37,52804,52804,10614210,Structural Problem,1
crankseg_1.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/crankseg_1.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.384x384.random,384,384,random,0,138,138,252,35,52804,52804,10614210,Structural Problem,1
crankseg_1.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/crankseg_1.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.512x512.blocked,512,512,blocked,0,104,104,6205,0,52804,52804,10614210,Structural Problem,1
crankseg_1.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/crankseg_1.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.512x512.cyclic,512,511,cyclic,1,104,104,89,14,52804,52804,10614210,Structural Problem,1
crankseg_1.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/crankseg_1.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.512x512.random,512,512,random,0,104,104,179,14,52804,52804,10614210,Structural Problem,1
delaunay_n23.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/delaunay_n23.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.256x256.blocked,256,256,blocked,0,32768,32768,147586,0,8388608,8388608,50331568,Undirected Graph,0
delaunay_n23.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/delaunay_n23.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.256x256.cyclic,256,255,cyclic,0,32897,32768,878,647,8388608,8388608,50331568,Undirected Graph,0
delaunay_n23.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/delaunay_n23.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.256x256.random,256,256,random,0,32768,32768,909,642,8388608,8388608,50331568,Undirected Graph,0
delaunay_n23.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/delaunay_n23.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.384x384.blocked,384,384,blocked,0,21846,21846,98104,0,8388608,8388608,50331568,Undirected Graph,0
delaunay_n23.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/delaunay_n23.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.384x384.cyclic,384,383,cyclic,0,21903,21846,421,274,8388608,8388608,50331568,Undirected Graph,0
delaunay_n23.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/delaunay_n23.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.384x384.random,384,384,random,0,21846,21846,428,260,8388608,8388608,50331568,Undirected Graph,0
delaunay_n23.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/delaunay_n23.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.512x512.blocked,512,512,blocked,0,16384,16384,73724,0,8388608,8388608,50331568,Undirected Graph,0
delaunay_n23.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/delaunay_n23.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.512x512.cyclic,512,511,cyclic,0,16417,16384,254,143,8388608,8388608,50331568,Undirected Graph,0
delaunay_n23.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/delaunay_n23.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.512x512.random,512,512,random,0,16384,16384,256,134,8388608,8388608,50331568,Undirected Graph,0
dielFilterV2real.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/dielFilterV2real.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.256x256.blocked,256,256,blocked,0,4522,4522,115109,0,1157456,1157456,48538952,Electromagnetics Problem,0
dielFilterV2real.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/dielFilterV2real.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.256x256.cyclic,256,255,cyclic,1,4540,4522,867,628,1157456,1157456,48538952,Electromagnetics Problem,1
dielFilterV2real.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/dielFilterV2real.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.256x256.random,256,256,random,0,4522,4522,5337,612,1157456,1157456,48538952,Electromagnetics Problem,1
dielFilterV2real.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/dielFilterV2real.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.384x384.blocked,384,384,blocked,0,3015,3015,75602,0,1157456,1157456,48538952,Electromagnetics Problem,0
dielFilterV2real.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/dielFilterV2real.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.384x384.cyclic,384,383,cyclic,1,3023,3015,407,249,1157456,1157456,48538952,Electromagnetics Problem,1
dielFilterV2real.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/dielFilterV2real.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.384x384.random,384,384,random,0,3015,3015,3403,239,1157456,1157456,48538952,Electromagnetics Problem,1
dielFilterV2real.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/dielFilterV2real.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.512x512.blocked,512,512,blocked,0,2261,2261,55902,0,1157456,1157456,48538952,Electromagnetics Problem,0
dielFilterV2real.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/dielFilterV2real.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.512x512.cyclic,512,511,cyclic,1,2266,2261,248,124,1157456,1157456,48538952,Electromagnetics Problem,1
dielFilterV2real.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/dielFilterV2real.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.512x512.random,512,512,random,0,2261,2261,2501,124,1157456,1157456,48538952,Electromagnetics Problem,1
indochina-2004.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/indochina-2004.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/indochina-2004.073026.256x256.blocked,256,256,blocked,0,28965,28965,48356175,0,7414866,7414866,194109311,Directed Graph,0
indochina-2004.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/indochina-2004.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/indochina-2004.073026.256x256.cyclic,256,255,cyclic,0,29078,28965,3914,2499,7414866,7414866,194109311,Directed Graph,0
indochina-2004.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/indochina-2004.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/indochina-2004.073026.256x256.random,256,256,random,0,28965,28965,13910,2046,7414866,7414866,194109311,Directed Graph,0
indochina-2004.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/indochina-2004.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/indochina-2004.073026.384x384.blocked,384,384,blocked,0,19310,19310,48297801,0,7414866,7414866,194109311,Directed Graph,0
indochina-2004.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/indochina-2004.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/indochina-2004.073026.384x384.cyclic,384,383,cyclic,0,19360,19310,2132,1012,7414866,7414866,194109311,Directed Graph,0
indochina-2004.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/indochina-2004.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/indochina-2004.073026.384x384.random,384,384,random,0,19310,19310,8653,739,7414866,7414866,194109311,Directed Graph,0
indochina-2004.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/indochina-2004.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/indochina-2004.073026.512x512.blocked,512,512,blocked,0,14483,14483,48278113,0,7414866,7414866,194109311,Directed Graph,0
indochina-2004.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/indochina-2004.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/indochina-2004.073026.512x512.cyclic,512,511,cyclic,0,14511,14483,1257,549,7414866,7414866,194109311,Directed Graph,0
indochina-2004.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/indochina-2004.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/indochina-2004.073026.512x512.random,512,512,random,0,14483,14483,6229,401,7414866,7414866,194109311,Directed Graph,0
kron_g500-logn17.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/kron_g500-logn17.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.073026.256x256.blocked,256,256,blocked,0,512,512,511,40,131072,131072,10228360,Undirected Multigraph,1
kron_g500-logn17.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/kron_g500-logn17.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.073026.256x256.cyclic,256,255,cyclic,1,515,512,413,32,131072,131072,10228360,Undirected Multigraph,1
kron_g500-logn17.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/kron_g500-logn17.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.073026.256x256.random,256,256,random,0,512,512,443,44,131072,131072,10228360,Undirected Multigraph,1
kron_g500-logn17.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/kron_g500-logn17.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.073026.384x384.blocked,384,384,blocked,0,342,342,317,8,131072,131072,10228360,Undirected Multigraph,1
kron_g500-logn17.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/kron_g500-logn17.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.073026.384x384.cyclic,384,383,cyclic,1,343,342,220,8,131072,131072,10228360,Undirected Multigraph,1
kron_g500-logn17.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/kron_g500-logn17.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.073026.384x384.random,384,384,random,0,342,342,238,9,131072,131072,10228360,Undirected Multigraph,1
kron_g500-logn17.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/kron_g500-logn17.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.073026.512x512.blocked,512,512,blocked,0,256,256,207,1,131072,131072,10228360,Undirected Multigraph,1
kron_g500-logn17.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/kron_g500-logn17.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.073026.512x512.cyclic,512,511,cyclic,1,257,256,160,2,131072,131072,10228360,Undirected Multigraph,1
kron_g500-logn17.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/kron_g500-logn17.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.073026.512x512.random,512,512,random,0,256,256,174,2,131072,131072,10228360,Undirected Multigraph,1
mawi_201512020030.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/mawi_201512020030.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/mawi_201512020030.073026.256x256.blocked,256,256,blocked,0,268998,268998,313030,0,68863315,68863315,143414960,Undirected Weighted Graph,0
mawi_201512020030.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/mawi_201512020030.npz,mawi_201512020030.073026.256x256.cyclic,256,255,cyclic,0,270053,268998,494154,87,68863315,68863315,143414960,Undirected Weighted Graph,0
mawi_201512020030.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/mawi_201512020030.npz,mawi_201512020030.073026.256x256.random,256,256,random,0,268998,268998,492420,68,68863315,68863315,143414960,Undirected Weighted Graph,0
mawi_201512020030.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/mawi_201512020030.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/mawi_201512020030.073026.384x384.blocked,384,384,blocked,0,179332,179332,193032,0,68863315,68863315,143414960,Undirected Weighted Graph,0
mawi_201512020030.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/mawi_201512020030.npz,mawi_201512020030.073026.384x384.cyclic,384,383,cyclic,0,179800,179332,328995,26,68863315,68863315,143414960,Undirected Weighted Graph,0
mawi_201512020030.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/mawi_201512020030.npz,mawi_201512020030.073026.384x384.random,384,384,random,0,179332,179332,328266,28,68863315,68863315,143414960,Undirected Weighted Graph,0
mawi_201512020030.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/mawi_201512020030.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/mawi_201512020030.073026.512x512.blocked,512,512,blocked,0,134499,134499,142902,0,68863315,68863315,143414960,Undirected Weighted Graph,0
mawi_201512020030.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/mawi_201512020030.npz,mawi_201512020030.073026.512x512.cyclic,512,511,cyclic,0,134762,134499,246659,9,68863315,68863315,143414960,Undirected Weighted Graph,0
mawi_201512020030.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/mawi_201512020030.npz,mawi_201512020030.073026.512x512.random,512,512,random,0,134499,134499,246240,10,68863315,68863315,143414960,Undirected Weighted Graph,0
radiation.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/radiation.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.073026.256x256.blocked,256,256,blocked,0,872,872,7907,0,223104,223104,5526637,Semiconductor Device Problem,1
radiation.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/radiation.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.073026.256x256.cyclic,256,255,cyclic,1,875,872,170,77,223104,223104,5526637,Semiconductor Device Problem,1
radiation.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/radiation.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.073026.384x384.blocked,384,384,blocked,0,581,581,4255,0,223104,223104,5526637,Semiconductor Device Problem,1
radiation.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/radiation.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.073026.384x384.cyclic,384,383,cyclic,1,583,581,96,25,223104,223104,5526637,Semiconductor Device Problem,1
radiation.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/radiation.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.073026.512x512.blocked,512,512,blocked,0,436,436,2830,0,223104,223104,5526637,Semiconductor Device Problem,1
radiation.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/radiation.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.073026.512x512.cyclic,512,511,cyclic,1,437,436,57,10,223104,223104,5526637,Semiconductor Device Problem,1
radiation.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/radiation.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.073026.256x256.random,256,256,random,0,872,872,1031,71,223104,223104,5526637,Semiconductor Device Problem,1
radiation.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/radiation.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.073026.384x384.random,384,384,random,0,581,581,659,23,223104,223104,5526637,Semiconductor Device Problem,1
radiation.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/radiation.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.073026.512x512.random,512,512,random,0,436,436,492,8,223104,223104,5526637,Semiconductor Device Problem,1
stokes.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/stokes.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/stokes.073026.256x256.blocked,256,256,blocked,0,44725,44725,1110876,0,11449533,11449533,349321980,Semiconductor Process Problem,0
stokes.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/stokes.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/stokes.073026.256x256.cyclic,256,255,cyclic,0,44901,44725,8850,4549,11449533,11449533,349321980,Semiconductor Process Problem,0
